disease_class,year,first_abs_all,first_per100k_all,total_abs_all,total_per100k_all,total_abs_1y,total_per100k_1y,total_abs_child,total_per100k_child,total_abs_teen,total_per100k_teen,disability_cases,disability_days,class_name,class_name_short
1,1990,5165.4,3492.2,7610.4,5145.2,,,3002.7,8841.6,,,,,Certain infectious and parasitic diseases,Infections
1,1995,6983.3,4725.7,9268.8,6272.3,127.9,104.4,3361.3,10717.6,268.2,4092.7,,,Certain infectious and parasitic diseases,Infections
1,1996,6399.1,4367.7,8843.9,6036.3,109.3,94.6,2790.0,9225.9,265.1,4031.5,,,Certain infectious and parasitic diseases,Infections
1,1997,6157.4,4213.4,8720.4,5967.3,102.1,87.4,2554.9,8723.6,269.2,4022.6,,,Certain infectious and parasitic diseases,Infections
1,1998,6414.7,4401.3,9021.1,6189.6,104.0,91.8,2718.6,9647.1,289.4,4188.1,,,Certain infectious and parasitic diseases,Infections
1,1999,6524.8,4494.6,9044.6,6230.4,108.2,96.1,2809.3,10412.8,307.9,4309.8,,,Certain infectious and parasitic diseases,Infections
1,2000,6448.0,4461.7,8984.8,6217.0,103.2,93.9,2689.4,10288.5,304.3,4068.1,,,Certain infectious and parasitic diseases,Infections
1,2001,6350.1,4381.0,8894.3,6136.4,102.8,89.8,2578.0,10325.2,326.1,4338.1,,,Certain infectious and parasitic diseases,Infections
1,2002,5938.9,4118.0,8497.7,5892.2,108.8,91.4,2314.8,9737.7,307.2,4074.0,,,Certain infectious and parasitic diseases,Infections
1,2003,5414.0,3774.0,7942.0,5536.3,105.2,82.5,1970.2,8671.2,282.0,3755.9,,,Certain infectious and parasitic diseases,Infections
1,2004,5505.3,3858.2,8000.8,5607.1,106.5,80.3,2012.6,9198.8,300.9,4088.6,,,Certain infectious and parasitic diseases,Infections
1,2005,5312.2,3742.0,7598.6,5352.6,104.6,76.9,1905.1,8883.7,292.3,4214.2,,,Certain infectious and parasitic diseases,Infections
1,2006,5327.3,3738.8,7621.3,5342.4,104.3,76.7,1897.0,9006.5,284.0,4427.3,,,Certain infectious and parasitic diseases,Infections
1,2007,5332.1,3752.0,7571.5,5327.7,108.4,70.7,1973.7,9465.2,250.6,4277.6,,,Certain infectious and parasitic diseases,Infections
1,2008,5186.9,3653.8,7419.3,5226.5,111.3,67.4,1937.1,9242.7,225.2,4269.8,,,Certain infectious and parasitic diseases,Infections
1,2009,4916.3,3439.5,7181.6,5060.7,113.5,,1833.8,,196.7,,,,Certain infectious and parasitic diseases,Infections
1,2010,4689.5,3280.8,6897.9,4825.8,116.0,68.5,1765.4,8143.8,183.8,3982.1,,,Certain infectious and parasitic diseases,Infections
1,2011,4626.1,3235.9,6878.3,4811.3,110.1,66.7,1790.9,8144.6,176.9,4024.8,,,Certain infectious and parasitic diseases,Infections
1,2012,4591.8,3206.5,6818.5,4761.5,108.1,65.2,1854.5,8237.8,166.9,3969.9,342222.0,8233361.0,Certain infectious and parasitic diseases,Infections
1,2013,4434.1,3089.8,6563.8,4573.9,107.2,62.1,1811.4,7841.5,156.0,3857.4,311131.0,7629619.0,Certain infectious and parasitic diseases,Infections
1,2014,4504.1,3083.1,6696.4,4583.7,105.2,60.4,1944.0,8078.4,158.6,3957.5,313176.0,7493721.0,Certain infectious and parasitic diseases,Infections
1,2015,4116.3,2811.6,6480.0,4426.1,103.1,53.5,1797.4,7260.0,140.5,3444.2,289572.0,7055730.0,Certain infectious and parasitic diseases,Infections
1,2016,4086.4,2786.0,6540.1,4458.9,109.5,62.8,1793.4,7098.0,138.8,3445.9,287487.0,6772474.0,Certain infectious and parasitic diseases,Infections
1,2017,4012.1,2732.3,6439.5,4385.3,104.0,61.0,1793.4,6929.8,136.4,3331.0,285389.0,6547278.0,Certain infectious and parasitic diseases,Infections
1,2018,3970.5,2704.2,6403.7,4361.3,97.3,62.5,1793.6,6930.6,144.2,3419.0,285892.0,6161037.0,Certain infectious and parasitic diseases,Infections
1,2019,3902.5,2659.0,6341.9,4321.1,76.5,49.9,1792.0,6907.3,141.8,3187.1,269394.0,5991645.0,Certain infectious and parasitic diseases,Infections
1,2020,2999.4,2030.6,5217.7,3532.5,57.3,39.6,1321.0,5098.7,115.8,42005.8,224983.0,5802138.0,Certain infectious and parasitic diseases,Infections
1,2021,3114.6,2115.7,5358.0,3639.5,59.8,42.7,1417.6,5485.2,123.7,2739.7,226444.0,5223424.0,Certain infectious and parasitic diseases,Infections
1,2022,3324.4,2265.9,5550.1,3783.0,60.9,45.3,1553.1,6047.5,136.1,2981.8,284984.0,5567667.0,Certain infectious and parasitic diseases,Infections
10,1990,49733.5,33623.5,56416.2,38141.5,,,26612.1,78359.7,,,,,Diseases of the respiratory system,Respiratory Diseases
